dataset,augmentation,p,seed,ddr,fold
assist2012,attr_mask,0.05,17,0.0,0.0
assist2012,attr_mask,0.05,42,0.0,0.0
assist2012,attr_mask,0.05,1234,0.0,0.0
assist2012,attr_mask,0.1,17,0.0,0.0
assist2012,attr_mask,0.1,42,0.0,0.0
assist2012,attr_mask,0.1,1234,0.0,0.0
assist2012,attr_mask,0.2,17,0.0,0.0
assist2012,attr_mask,0.2,42,0.0,0.0
assist2012,attr_mask,0.2,1234,0.0,0.0
assist2012,attr_mask,0.3,17,0.0,0.0
assist2012,attr_mask,0.3,42,0.0,0.0
assist2012,attr_mask,0.3,1234,0.0,0.0
assist2012,edge_drop,0.05,17,0.0621761658031088,0.0
assist2012,edge_drop,0.05,42,0.038860103626943,0.0
assist2012,edge_drop,0.05,1234,0.0673575129533678,0.0
assist2012,edge_drop,0.1,17,0.0984455958549222,0.0
assist2012,edge_drop,0.1,42,0.0854922279792746,0.0
assist2012,edge_drop,0.1,1234,0.121761658031088,0.0
assist2012,edge_drop,0.2,17,0.1917098445595854,0.0
assist2012,edge_drop,0.2,42,0.2202072538860103,0.0
assist2012,edge_drop,0.2,1234,0.2202072538860103,0.0
assist2012,edge_drop,0.3,17,0.2953367875647668,0.0
assist2012,edge_drop,0.3,42,0.3031088082901554,0.0
assist2012,edge_drop,0.3,1234,0.3290155440414508,0.0
assist2012,node_drop,0.05,17,0.1398963730569948,0.0
assist2012,node_drop,0.05,42,0.0699481865284974,0.0
assist2012,node_drop,0.05,1234,0.1476683937823834,0.0
assist2012,node_drop,0.1,17,0.1787564766839378,0.0
assist2012,node_drop,0.1,42,0.160621761658031,0.0
assist2012,node_drop,0.1,1234,0.266839378238342,0.0
assist2012,node_drop,0.2,17,0.344559585492228,0.0
assist2012,node_drop,0.2,42,0.2927461139896373,0.0
assist2012,node_drop,0.2,1234,0.3678756476683937,0.0
assist2012,node_drop,0.3,17,0.5051813471502591,0.0
assist2012,node_drop,0.3,42,0.4015544041450777,0.0
assist2012,node_drop,0.3,1234,0.6139896373056994,0.0
assist2012,subgraph,0.05,17,0.0103626943005181,0.0
assist2012,subgraph,0.05,42,0.0129533678756476,0.0
assist2012,subgraph,0.05,1234,0.0129533678756476,0.0
assist2012,subgraph,0.1,17,0.0492227979274611,0.0
assist2012,subgraph,0.1,42,0.038860103626943,0.0
assist2012,subgraph,0.1,1234,0.038860103626943,0.0
assist2012,subgraph,0.2,17,0.194300518134715,0.0
assist2012,subgraph,0.2,42,0.1528497409326424,0.0
assist2012,subgraph,0.2,1234,0.1191709844559585,0.0
assist2012,subgraph,0.3,17,0.3160621761658031,0.0
assist2012,subgraph,0.3,42,0.2409326424870466,0.0
assist2012,subgraph,0.3,1234,0.233160621761658,0.0
assist2012,attr_mask,0.05,17,0.0,1.0
assist2012,attr_mask,0.05,42,0.0,1.0
assist2012,attr_mask,0.05,1234,0.0,1.0
assist2012,attr_mask,0.1,17,0.0,1.0
assist2012,attr_mask,0.1,42,0.0,1.0
assist2012,attr_mask,0.1,1234,0.0,1.0
assist2012,attr_mask,0.2,17,0.0,1.0
assist2012,attr_mask,0.2,42,0.0,1.0
assist2012,attr_mask,0.2,1234,0.0,1.0
assist2012,attr_mask,0.3,17,0.0,1.0
assist2012,attr_mask,0.3,42,0.0,1.0
assist2012,attr_mask,0.3,1234,0.0,1.0
assist2012,edge_drop,0.05,17,0.0618556701030927,1.0
assist2012,edge_drop,0.05,42,0.0386597938144329,1.0
assist2012,edge_drop,0.05,1234,0.0670103092783505,1.0
assist2012,edge_drop,0.1,17,0.0979381443298969,1.0
assist2012,edge_drop,0.1,42,0.0850515463917525,1.0
assist2012,edge_drop,0.1,1234,0.1211340206185567,1.0
assist2012,edge_drop,0.2,17,0.1932989690721649,1.0
assist2012,edge_drop,0.2,42,0.2190721649484536,1.0
assist2012,edge_drop,0.2,1234,0.2190721649484536,1.0
assist2012,edge_drop,0.3,17,0.2963917525773196,1.0
assist2012,edge_drop,0.3,42,0.3015463917525773,1.0
assist2012,edge_drop,0.3,1234,0.327319587628866,1.0
assist2012,node_drop,0.05,17,0.1597938144329896,1.0
assist2012,node_drop,0.05,42,0.0515463917525773,1.0
assist2012,node_drop,0.05,1234,0.2010309278350515,1.0
assist2012,node_drop,0.1,17,0.1881443298969072,1.0
assist2012,node_drop,0.1,42,0.1134020618556701,1.0
assist2012,node_drop,0.1,1234,0.3221649484536082,1.0
assist2012,node_drop,0.2,17,0.306701030927835,1.0
assist2012,node_drop,0.2,42,0.3376288659793814,1.0
assist2012,node_drop,0.2,1234,0.4278350515463917,1.0
assist2012,node_drop,0.3,17,0.4510309278350515,1.0
assist2012,node_drop,0.3,42,0.4845360824742268,1.0
assist2012,node_drop,0.3,1234,0.6649484536082474,1.0
assist2012,subgraph,0.05,17,0.0103092783505154,1.0
assist2012,subgraph,0.05,42,0.0128865979381443,1.0
assist2012,subgraph,0.05,1234,0.0103092783505154,1.0
assist2012,subgraph,0.1,17,0.0360824742268041,1.0
assist2012,subgraph,0.1,42,0.0386597938144329,1.0
assist2012,subgraph,0.1,1234,0.0360824742268041,1.0
assist2012,subgraph,0.2,17,0.1211340206185567,1.0
assist2012,subgraph,0.2,42,0.1572164948453608,1.0
assist2012,subgraph,0.2,1234,0.1391752577319587,1.0
assist2012,subgraph,0.3,17,0.2448453608247422,1.0
assist2012,subgraph,0.3,42,0.229381443298969,1.0
assist2012,subgraph,0.3,1234,0.2371134020618556,1.0
assist2012,attr_mask,0.05,17,0.0,2.0
assist2012,attr_mask,0.05,42,0.0,2.0
assist2012,attr_mask,0.05,1234,0.0,2.0
assist2012,attr_mask,0.1,17,0.0,2.0
assist2012,attr_mask,0.1,42,0.0,2.0
assist2012,attr_mask,0.1,1234,0.0,2.0
assist2012,attr_mask,0.2,17,0.0,2.0
assist2012,attr_mask,0.2,42,0.0,2.0
assist2012,attr_mask,0.2,1234,0.0,2.0
assist2012,attr_mask,0.3,17,0.0,2.0
assist2012,attr_mask,0.3,42,0.0,2.0
assist2012,attr_mask,0.3,1234,0.0,2.0
assist2012,edge_drop,0.05,17,0.06282722513089,2.0
assist2012,edge_drop,0.05,42,0.0392670157068062,2.0
assist2012,edge_drop,0.05,1234,0.0680628272251308,2.0
assist2012,edge_drop,0.1,17,0.0994764397905759,2.0
assist2012,edge_drop,0.1,42,0.0863874345549738,2.0
assist2012,edge_drop,0.1,1234,0.1204188481675392,2.0
assist2012,edge_drop,0.2,17,0.1910994764397905,2.0
assist2012,edge_drop,0.2,42,0.2225130890052356,2.0
assist2012,edge_drop,0.2,1234,0.2172774869109947,2.0
assist2012,edge_drop,0.3,17,0.2958115183246073,2.0
assist2012,edge_drop,0.3,42,0.306282722513089,2.0
assist2012,edge_drop,0.3,1234,0.3272251308900523,2.0
assist2012,node_drop,0.05,17,0.1099476439790576,2.0
assist2012,node_drop,0.05,42,0.175392670157068,2.0
assist2012,node_drop,0.05,1234,0.0994764397905759,2.0
assist2012,node_drop,0.1,17,0.1570680628272251,2.0
assist2012,node_drop,0.1,42,0.2382198952879581,2.0
assist2012,node_drop,0.1,1234,0.1780104712041884,2.0
assist2012,node_drop,0.2,17,0.2696335078534031,2.0
assist2012,node_drop,0.2,42,0.4764397905759162,2.0
assist2012,node_drop,0.2,1234,0.3089005235602094,2.0
assist2012,node_drop,0.3,17,0.5523560209424084,2.0
assist2012,node_drop,0.3,42,0.5942408376963351,2.0
assist2012,node_drop,0.3,1234,0.4764397905759162,2.0
assist2012,subgraph,0.05,17,0.0183246073298429,2.0
assist2012,subgraph,0.05,42,0.0104712041884816,2.0
assist2012,subgraph,0.05,1234,0.0157068062827225,2.0
assist2012,subgraph,0.1,17,0.094240837696335,2.0
assist2012,subgraph,0.1,42,0.0392670157068062,2.0
assist2012,subgraph,0.1,1234,0.0392670157068062,2.0
assist2012,subgraph,0.2,17,0.1910994764397905,2.0
assist2012,subgraph,0.2,42,0.1989528795811518,2.0
assist2012,subgraph,0.2,1234,0.1335078534031413,2.0
assist2012,subgraph,0.3,17,0.2696335078534031,2.0
assist2012,subgraph,0.3,42,0.2801047120418848,2.0
assist2012,subgraph,0.3,1234,0.2356020942408377,2.0
junyi,attr_mask,0.05,17,0.0,0.0
junyi,attr_mask,0.05,42,0.0,0.0
junyi,attr_mask,0.05,1234,0.0,0.0
junyi,attr_mask,0.1,17,0.0,0.0
junyi,attr_mask,0.1,42,0.0,0.0
junyi,attr_mask,0.1,1234,0.0,0.0
junyi,attr_mask,0.2,17,0.0,0.0
junyi,attr_mask,0.2,42,0.0,0.0
junyi,attr_mask,0.2,1234,0.0,0.0
junyi,attr_mask,0.3,17,0.0,0.0
junyi,attr_mask,0.3,42,0.0,0.0
junyi,attr_mask,0.3,1234,0.0,0.0
junyi,edge_drop,0.05,17,0.0501858736059479,0.0
junyi,edge_drop,0.05,42,0.0487918215613382,0.0
junyi,edge_drop,0.05,1234,0.0520446096654275,0.0
junyi,edge_drop,0.1,17,0.0920074349442379,0.0
junyi,edge_drop,0.1,42,0.0952602230483271,0.0
junyi,edge_drop,0.1,1234,0.095724907063197,0.0
junyi,edge_drop,0.2,17,0.2007434944237918,0.0
junyi,edge_drop,0.2,42,0.2058550185873606,0.0
junyi,edge_drop,0.2,1234,0.1937732342007435,0.0
junyi,edge_drop,0.3,17,0.3085501858736059,0.0
junyi,edge_drop,0.3,42,0.3025092936802974,0.0
junyi,edge_drop,0.3,1234,0.2908921933085502,0.0
junyi,node_drop,0.05,17,0.1245353159851301,0.0
junyi,node_drop,0.05,42,0.0859665427509293,0.0
junyi,node_drop,0.05,1234,0.116635687732342,0.0
junyi,node_drop,0.1,17,0.1854089219330855,0.0
junyi,node_drop,0.1,42,0.1696096654275093,0.0
junyi,node_drop,0.1,1234,0.2244423791821561,0.0
junyi,node_drop,0.2,17,0.3912639405204461,0.0
junyi,node_drop,0.2,42,0.3991635687732342,0.0
junyi,node_drop,0.2,1234,0.3657063197026022,0.0
junyi,node_drop,0.3,17,0.5106877323420075,0.0
junyi,node_drop,0.3,42,0.5269516728624535,0.0
junyi,node_drop,0.3,1234,0.5362453531598513,0.0
junyi,subgraph,0.05,17,0.0130111524163568,0.0
junyi,subgraph,0.05,42,0.0130111524163568,0.0
junyi,subgraph,0.05,1234,0.0130111524163568,0.0
junyi,subgraph,0.1,17,0.078996282527881,0.0
junyi,subgraph,0.1,42,0.0776022304832713,0.0
junyi,subgraph,0.1,1234,0.0729553903345724,0.0
junyi,subgraph,0.2,17,0.1784386617100371,0.0
junyi,subgraph,0.2,42,0.1770446096654275,0.0
junyi,subgraph,0.2,1234,0.1909851301115241,0.0
junyi,subgraph,0.3,17,0.2876394052044609,0.0
junyi,subgraph,0.3,42,0.2788104089219331,0.0
junyi,subgraph,0.3,1234,0.2876394052044609,0.0
junyi,attr_mask,0.05,17,0.0,1.0
junyi,attr_mask,0.05,42,0.0,1.0
junyi,attr_mask,0.05,1234,0.0,1.0
junyi,attr_mask,0.1,17,0.0,1.0
junyi,attr_mask,0.1,42,0.0,1.0
junyi,attr_mask,0.1,1234,0.0,1.0
junyi,attr_mask,0.2,17,0.0,1.0
junyi,attr_mask,0.2,42,0.0,1.0
junyi,attr_mask,0.2,1234,0.0,1.0
junyi,attr_mask,0.3,17,0.0,1.0
junyi,attr_mask,0.3,42,0.0,1.0
junyi,attr_mask,0.3,1234,0.0,1.0
junyi,edge_drop,0.05,17,0.0502347417840375,1.0
junyi,edge_drop,0.05,42,0.0488262910798122,1.0
junyi,edge_drop,0.05,1234,0.052112676056338,1.0
junyi,edge_drop,0.1,17,0.0924882629107981,1.0
junyi,edge_drop,0.1,42,0.0948356807511737,1.0
junyi,edge_drop,0.1,1234,0.0957746478873239,1.0
junyi,edge_drop,0.2,17,0.2,1.0
junyi,edge_drop,0.2,42,0.2065727699530516,1.0
junyi,edge_drop,0.2,1234,0.1938967136150234,1.0
junyi,edge_drop,0.3,17,0.3089201877934272,1.0
junyi,edge_drop,0.3,42,0.3037558685446009,1.0
junyi,edge_drop,0.3,1234,0.292018779342723,1.0
junyi,node_drop,0.05,17,0.115962441314554,1.0
junyi,node_drop,0.05,42,0.0774647887323943,1.0
junyi,node_drop,0.05,1234,0.1140845070422535,1.0
junyi,node_drop,0.1,17,0.1835680751173709,1.0
junyi,node_drop,0.1,42,0.1812206572769953,1.0
junyi,node_drop,0.1,1234,0.2333333333333333,1.0
junyi,node_drop,0.2,17,0.3704225352112676,1.0
junyi,node_drop,0.2,42,0.3873239436619718,1.0
junyi,node_drop,0.2,1234,0.3896713615023474,1.0
junyi,node_drop,0.3,17,0.5262910798122066,1.0
junyi,node_drop,0.3,42,0.5084507042253521,1.0
junyi,node_drop,0.3,1234,0.531924882629108,1.0
junyi,subgraph,0.05,17,0.0126760563380281,1.0
junyi,subgraph,0.05,42,0.0126760563380281,1.0
junyi,subgraph,0.05,1234,0.0126760563380281,1.0
junyi,subgraph,0.1,17,0.0586854460093896,1.0
junyi,subgraph,0.1,42,0.0718309859154929,1.0
junyi,subgraph,0.1,1234,0.0525821596244131,1.0
junyi,subgraph,0.2,17,0.1568075117370892,1.0
junyi,subgraph,0.2,42,0.152112676056338,1.0
junyi,subgraph,0.2,1234,0.172300469483568,1.0
junyi,subgraph,0.3,17,0.2450704225352112,1.0
junyi,subgraph,0.3,42,0.2596244131455399,1.0
junyi,subgraph,0.3,1234,0.2971830985915493,1.0
junyi,attr_mask,0.05,17,0.0,2.0
junyi,attr_mask,0.05,42,0.0,2.0
junyi,attr_mask,0.05,1234,0.0,2.0
junyi,attr_mask,0.1,17,0.0,2.0
junyi,attr_mask,0.1,42,0.0,2.0
junyi,attr_mask,0.1,1234,0.0,2.0
junyi,attr_mask,0.2,17,0.0,2.0
junyi,attr_mask,0.2,42,0.0,2.0
junyi,attr_mask,0.2,1234,0.0,2.0
junyi,attr_mask,0.3,17,0.0,2.0
junyi,attr_mask,0.3,42,0.0,2.0
junyi,attr_mask,0.3,1234,0.0,2.0
junyi,edge_drop,0.05,17,0.0500927643784786,2.0
junyi,edge_drop,0.05,42,0.0487012987012987,2.0
junyi,edge_drop,0.05,1234,0.0519480519480519,2.0
junyi,edge_drop,0.1,17,0.0918367346938775,2.0
junyi,edge_drop,0.1,42,0.0950834879406308,2.0
junyi,edge_drop,0.1,1234,0.0955473098330241,2.0
junyi,edge_drop,0.2,17,0.2003710575139146,2.0
junyi,edge_drop,0.2,42,0.2054730983302412,2.0
junyi,edge_drop,0.2,1234,0.1934137291280148,2.0
junyi,edge_drop,0.3,17,0.3079777365491651,2.0
junyi,edge_drop,0.3,42,0.3019480519480519,2.0
junyi,edge_drop,0.3,1234,0.2903525046382189,2.0
junyi,node_drop,0.05,17,0.1168831168831168,2.0
junyi,node_drop,0.05,42,0.0830241187384044,2.0
junyi,node_drop,0.05,1234,0.1252319109461966,2.0
junyi,node_drop,0.1,17,0.1757884972170686,2.0
junyi,node_drop,0.1,42,0.174860853432282,2.0
junyi,node_drop,0.1,1234,0.2337662337662337,2.0
junyi,node_drop,0.2,17,0.3641001855287569,2.0
junyi,node_drop,0.2,42,0.3974953617810761,2.0
junyi,node_drop,0.2,1234,0.3910018552875696,2.0
junyi,node_drop,0.3,17,0.5078849721706865,2.0
junyi,node_drop,0.3,42,0.5273654916512059,2.0
junyi,node_drop,0.3,1234,0.525974025974026,2.0
junyi,subgraph,0.05,17,0.0139146567717996,2.0
junyi,subgraph,0.05,42,0.0134508348794063,2.0
junyi,subgraph,0.05,1234,0.0134508348794063,2.0
junyi,subgraph,0.1,17,0.0431354359925788,2.0
junyi,subgraph,0.1,42,0.0556586270871985,2.0
junyi,subgraph,0.1,1234,0.0644712430426716,2.0
